"latitude","longitude","value","session_id"
"1",51.57498169,-0.14135622,0,"75345"
"2",51.57497632,-0.14140973,0,"75345"
"3",51.57496981,-0.14139951,0,"75345"
"4",51.57496524,-0.14139908,0,"75345"
"5",51.57496961,-0.14140281,0,"75345"
"6",51.57497319,-0.1413959,0,"75345"
"7",51.57497588,-0.14136227,0,"75345"
"8",51.57496137,-0.14136458,0,"75345"
"9",51.57498069,-0.14136793,0,"75345"
"10",51.574993,-0.14137326,0,"75345"
"11",51.57499906,-0.14137494,0,"75345"
"12",51.57499908,-0.14137495,0,"75345"
"13",51.5750004,-0.14137114,0,"75345"
"14",51.57500041,-0.14137115,0,"75345"
"15",51.57499954,-0.14137046,0,"75345"
"16",51.57499917,-0.14136823,0,"75345"
"17",51.57500042,-0.141367,0,"75345"
"18",51.57500354,-0.14136543,0,"75345"
"19",51.57500306,-0.14136633,0,"75345"
"20",51.57500428,-0.14135936,0,"75345"
"21",51.57500446,-0.14135682,0,"75345"
"22",51.57500442,-0.14135684,0,"75345"
"23",51.57500469,-0.14135629,0,"75345"
"24",51.57500427,-0.14135731,0,"75345"
"25",51.57500398,-0.14135807,0,"75345"
"26",51.57500427,-0.14135723,0,"75345"
"27",51.57500379,-0.14135818,0,"75345"
"28",51.57500584,-0.14136817,0,"75345"
"29",51.57502066,-0.14134778,0,"75345"
"30",51.57502479,-0.14137901,0,"75345"
"31",51.57502756,-0.14136778,0,"75345"
"32",51.57502798,-0.14136144,0,"75345"
"33",51.57502834,-0.14135558,0,"75345"
"34",51.57503081,-0.14134361,0,"75345"
"35",51.57503081,-0.14134361,0,"75345"
"36",51.5750337,-0.14133328,0,"75345"
"37",51.5750347,-0.14133037,0,"75345"
"38",51.57503661,-0.14132473,0,"75345"
"39",51.57503862,-0.14131962,0,"75345"
"40",51.57504112,-0.14131431,0,"75345"
"41",51.57504182,-0.14131362,0,"75345"
"42",51.57504365,-0.14131018,0,"75345"
"43",51.57504467,-0.1413081,0,"75345"
"44",51.57504584,-0.14130521,0,"75345"
"45",51.57504691,-0.14130057,0,"75345"
"46",51.57504733,-0.14129698,0,"75345"
"47",51.57504742,-0.14129457,0,"75345"
"48",51.57504735,-0.14129342,0,"75345"
"49",51.57504664,-0.14129597,0,"75345"
"50",51.57504426,-0.14129422,0,"75345"
"51",51.57502939,-0.1412835,0,"75345"
"52",51.57502558,-0.14128449,0,"75345"
"53",51.5750215,-0.14128418,0,"75345"
"54",51.57501754,-0.14128194,0,"75345"
"55",51.57501406,-0.1412805,0,"75345"
"56",51.57501271,-0.14128011,0,"75345"
"57",51.57501082,-0.14127595,0,"75345"
"58",51.57501294,-0.14127345,0,"75345"
"59",51.57501243,-0.14126876,0,"75345"
"60",51.5750116,-0.14126732,0,"75345"
"61",51.57501119,-0.1412666,0,"75345"
"62",51.57501219,-0.14126947,0,"75345"
"63",51.57501578,-0.14126928,0,"75345"
"64",51.57502025,-0.14126494,0,"75345"
"65",51.57502025,-0.14126494,0,"75345"
