"latitude","longitude","value","session_id"
"1",40.67709433,-73.93874329,26,"75530"
"2",40.67709433,-73.93874329,26,"75530"
"3",40.67709433,-73.93874329,26,"75530"
"4",40.67710726,-73.93874135,27,"75530"
"5",40.67711285,-73.93873828,25,"75530"
"6",40.67711414,-73.93873741,25,"75530"
"7",40.67710066,-73.93873007,25,"75530"
"8",40.67709287,-73.93872747,25,"75530"
"9",40.67708106,-73.93872095,25,"75530"
"10",40.67707159,-73.93871333,24,"75530"
"11",40.6770557,-73.93870911,24,"75530"
"12",40.6770338,-73.93871351,24,"75530"
"13",40.67701589,-73.93872473,23,"75530"
"14",40.6770053,-73.9387364,23,"75530"
"15",40.67699697,-73.93875109,23,"75530"
"16",40.67698915,-73.93876251,23,"75530"
"17",40.67698127,-73.93877002,23,"75530"
"18",40.67697012,-73.93877291,23,"75530"
"19",40.67695647,-73.9387767,23,"75530"
"20",40.67694612,-73.93878232,23,"75530"
"21",40.67693267,-73.93878168,22,"75530"
"22",40.67691817,-73.9387777,22,"75530"
"23",40.67690547,-73.93877027,22,"75530"
"24",40.67689103,-73.9387597,22,"75530"
"25",40.67687317,-73.93874548,22,"75530"
"26",40.67685282,-73.93873152,21,"75530"
"27",40.67683119,-73.93871823,21,"75530"
"28",40.67681132,-73.93870796,22,"75530"
"29",40.67679342,-73.93870087,23,"75530"
"30",40.67677686,-73.93868964,23,"75530"
"31",40.67675873,-73.93867657,23,"75530"
"32",40.67673841,-73.93866758,23,"75530"
"33",40.67671708,-73.93866354,23,"75530"
"34",40.67670145,-73.93866935,23,"75530"
"35",40.67668551,-73.93867261,23,"75530"
"36",40.67668087,-73.93868319,23,"75530"
"37",40.67666906,-73.93868639,23,"75530"
"38",40.67665551,-73.93869034,23,"75530"
"39",40.6766494,-73.93868682,23,"75530"
"40",40.67665113,-73.93868482,23,"75530"
"41",40.67665028,-73.93868298,23,"75530"
"42",40.67663659,-73.9386808,23,"75530"
"43",40.67661702,-73.93867899,23,"75530"
"44",40.67659704,-73.93867347,24,"75530"
"45",40.67657183,-73.93866576,24,"75530"
"46",40.67655532,-73.93865797,24,"75530"
"47",40.67654339,-73.93865681,24,"75530"
"48",40.67652728,-73.93865332,24,"75530"
"49",40.67652728,-73.93865332,24,"75530"
"50",40.67649988,-73.93866148,24,"75530"
"51",40.6764822,-73.93865986,24,"75530"
"52",40.6764659,-73.93865404,25,"75530"
"53",40.6764507,-73.93865902,25,"75530"
"54",40.67643856,-73.93866265,25,"75530"
"55",40.67643159,-73.93866712,25,"75530"
"56",40.67642348,-73.93866458,25,"75530"
"57",40.67641106,-73.93866324,25,"75530"
"58",40.67640004,-73.93865989,24,"75530"
"59",40.67638313,-73.93865984,24,"75530"
"60",40.67635977,-73.93865955,24,"75530"
"61",40.67634172,-73.93866102,24,"75530"
"62",40.67632818,-73.93866095,23,"75530"
"63",40.67631461,-73.93866837,23,"75530"
"64",40.6763015,-73.93868039,22,"75530"
"65",40.67628735,-73.93869149,22,"75530"
"66",40.67627659,-73.93870171,22,"75530"
"67",40.67626922,-73.93871286,23,"75530"
"68",40.67626388,-73.93872368,23,"75530"
"69",40.67626287,-73.93873473,23,"75530"
"70",40.67626066,-73.93874501,24,"75530"
