"latitude","longitude","value","session_id"
"1",40.66891792,-73.93155546,2,"75580"
"2",40.66891792,-73.93155546,2,"75580"
"3",40.66892486,-73.93155862,2,"75580"
"4",40.66892764,-73.93156488,2,"75580"
"5",40.66893513,-73.93157262,2,"75580"
"6",40.66893271,-73.93157189,2,"75580"
"7",40.66893723,-73.93157153,2,"75580"
"8",40.66894356,-73.93153668,2,"75580"
"9",40.66894857,-73.93150832,2,"75580"
"10",40.66894857,-73.93150832,2,"75580"
"11",40.66894717,-73.93150798,2,"75580"
"12",40.66894137,-73.93148261,1,"75580"
"13",40.66894345,-73.93146564,1,"75580"
"14",40.66894768,-73.93145774,1,"75580"
"15",40.66893965,-73.93142623,1,"75580"
"16",40.66893992,-73.93140882,1,"75580"
"17",40.66893914,-73.93138979,1,"75580"
"18",40.66894128,-73.93135109,1,"75580"
"19",40.66894128,-73.93135109,1,"75580"
"20",40.66894088,-73.93133082,1,"75580"
"21",40.66893987,-73.93131157,1,"75580"
"22",40.6689391,-73.93129289,1,"75580"
"23",40.66894052,-73.93127735,3,"75580"
"24",40.66894497,-73.93126049,6,"75580"
"25",40.66895959,-73.93124173,9,"75580"
"26",40.66897163,-73.93122463,11,"75580"
"27",40.66898642,-73.93120438,13,"75580"
"28",40.66898642,-73.93120438,14,"75580"
"29",40.66899218,-73.9311972,16,"75580"
"30",40.6689961,-73.93119728,16,"75580"
"31",40.66900308,-73.93119722,16,"75580"
"32",40.66901653,-73.93119467,15,"75580"
"33",40.66903355,-73.93119268,16,"75580"
"34",40.66905687,-73.93120642,14,"75580"
"35",40.66907571,-73.93122167,12,"75580"
"36",40.66908291,-73.93123263,12,"75580"
"37",40.66908489,-73.93123929,12,"75580"
"38",40.66908552,-73.93124232,12,"75580"
"39",40.66910384,-73.93125302,12,"75580"
"40",40.66913425,-73.93126609,11,"75580"
"41",40.66915989,-73.93126831,11,"75580"
"42",40.66917557,-73.93126052,12,"75580"
"43",40.66918975,-73.93123797,12,"75580"
"44",40.66918975,-73.93123797,12,"75580"
"45",40.6691948,-73.93123266,8,"75580"
"46",40.66921494,-73.93123378,8,"75580"
"47",40.66921494,-73.93123378,9,"75580"
"48",40.66923719,-73.93123715,8,"75580"
"49",40.66926439,-73.93123795,10,"75580"
"50",40.66929186,-73.9312239,8,"75580"
"51",40.66929186,-73.9312239,8,"75580"
"52",40.66930259,-73.9312145,8,"75580"
"53",40.66930773,-73.9312061,8,"75580"
"54",40.66931054,-73.93119337,8,"75580"
"55",40.6693144,-73.93117277,8,"75580"
"56",40.66931622,-73.93114559,8,"75580"
"57",40.66931848,-73.9311241,8,"75580"
"58",40.66932224,-73.93111146,8,"75580"
"59",40.66932984,-73.9310947,8,"75580"
"60",40.66933717,-73.93107547,8,"75580"
"61",40.66934184,-73.93106224,8,"75580"
"62",40.66934671,-73.93105105,8,"75580"
"63",40.66935042,-73.93104074,7,"75580"
"64",40.66935073,-73.93102802,7,"75580"
"65",40.66934841,-73.9310219,7,"75580"
"66",40.669346,-73.93101779,7,"75580"
"67",40.66934843,-73.931012,7,"75580"
"68",40.66935328,-73.93100226,7,"75580"
"69",40.6693569,-73.9309981,6,"75580"
"70",40.66935972,-73.93099338,6,"75580"
"71",40.6693687,-73.93098772,6,"75580"
"72",40.66938181,-73.93098769,6,"75580"
"73",40.66939483,-73.93099813,5,"75580"
"74",40.66940341,-73.93100997,5,"75580"
"75",40.66941372,-73.93101934,4,"75580"
"76",40.66942471,-73.93103821,3,"75580"
"77",40.66943413,-73.93104717,3,"75580"
"78",40.66944931,-73.93106509,3,"75580"
"79",40.66946489,-73.93108212,3,"75580"
"80",40.66948043,-73.93109727,3,"75580"
"81",40.66949436,-73.93111024,4,"75580"
"82",40.66950801,-73.93112318,4,"75580"
"83",40.6695217,-73.9311319,4,"75580"
"84",40.66953403,-73.93113588,4,"75580"
"85",40.66954738,-73.93113747,4,"75580"
"86",40.66956215,-73.9311348,4,"75580"
"87",40.66957668,-73.93112909,4,"75580"
"88",40.66958867,-73.93112008,4,"75580"
"89",40.66960087,-73.93111275,5,"75580"
"90",40.66961305,-73.93110697,5,"75580"
"91",40.66962607,-73.93110039,5,"75580"
