"latitude","longitude","value","session_id"
"1",40.67712419,-73.93869309,14,"75323"
"2",40.67712419,-73.93869309,14,"75323"
"3",40.67712414,-73.93869337,14,"75323"
"4",40.67712414,-73.93869336,14,"75323"
"5",40.67712413,-73.9386934,14,"75323"
"6",40.67712413,-73.93869343,14,"75323"
"7",40.67712413,-73.93869346,14,"75323"
"8",40.67712412,-73.93869351,14,"75323"
"9",40.67712411,-73.93869358,13,"75323"
"10",40.67712416,-73.93869435,13,"75323"
"11",40.67712419,-73.9386948,13,"75323"
"12",40.67712422,-73.93869505,13,"75323"
"13",40.67712424,-73.9386952,13,"75323"
"14",40.67712425,-73.9386953,13,"75323"
"15",40.67712426,-73.93869536,13,"75323"
"16",40.67712426,-73.93869539,13,"75323"
"17",40.67712428,-73.93869541,12,"75323"
"18",40.67712429,-73.93869541,12,"75323"
"19",40.6771243,-73.93869541,12,"75323"
"20",40.67712432,-73.93869544,11,"75323"
"21",40.67712994,-73.93869101,11,"75323"
"22",40.67713987,-73.93868413,11,"75323"
"23",40.67715143,-73.93868092,12,"75323"
"24",40.67716637,-73.93867725,12,"75323"
"25",40.67718591,-73.93868081,12,"75323"
"26",40.67720006,-73.93868253,12,"75323"
"27",40.67721166,-73.93868364,12,"75323"
"28",40.67723073,-73.93868333,11,"75323"
"29",40.67724979,-73.93868183,11,"75323"
"30",40.67726187,-73.93868018,12,"75323"
"31",40.67727423,-73.93867794,12,"75323"
"32",40.67728743,-73.93867931,12,"75323"
"33",40.67729631,-73.93867999,13,"75323"
"34",40.67730695,-73.93867812,13,"75323"
"35",40.6773173,-73.93867519,13,"75323"
"36",40.67732732,-73.93867257,13,"75323"
"37",40.67734331,-73.93867011,13,"75323"
"38",40.67735948,-73.93866341,13,"75323"
"39",40.67737535,-73.93865736,13,"75323"
"40",40.6773912,-73.93865267,13,"75323"
"41",40.67740622,-73.93864947,14,"75323"
"42",40.67741924,-73.93864421,14,"75323"
"43",40.67743323,-73.93863654,14,"75323"
"44",40.67744921,-73.93862653,14,"75323"
"45",40.67746174,-73.93861719,14,"75323"
"46",40.67747178,-73.9386077,14,"75323"
"47",40.67748517,-73.93859541,15,"75323"
"48",40.6774968,-73.9385896,15,"75323"
"49",40.67750652,-73.93858565,16,"75323"
"50",40.67751844,-73.93858293,16,"75323"
"51",40.67753023,-73.93858108,15,"75323"
"52",40.67754296,-73.93857706,15,"75323"
"53",40.67755637,-73.93857562,15,"75323"
"54",40.67757153,-73.938575,16,"75323"
"55",40.67758659,-73.93857444,16,"75323"
"56",40.67759879,-73.93857493,17,"75323"
"57",40.67761028,-73.93857499,17,"75323"
"58",40.67762106,-73.93857534,17,"75323"
"59",40.67763229,-73.93857607,17,"75323"
"60",40.67764369,-73.93857738,17,"75323"
"61",40.6776578,-73.93857848,17,"75323"
"62",40.67767179,-73.93857785,17,"75323"
"63",40.67768339,-73.93857603,16,"75323"
"64",40.67769572,-73.93857526,17,"75323"
"65",40.67770533,-73.93857583,16,"75323"
"66",40.67771553,-73.93857509,16,"75323"
"67",40.67772825,-73.93856925,16,"75323"
"68",40.67774032,-73.93856316,16,"75323"
"69",40.67774836,-73.93855961,16,"75323"
"70",40.67775657,-73.93855545,16,"75323"
"71",40.6777622,-73.93855239,16,"75323"
"72",40.67777101,-73.93854667,16,"75323"
"73",40.67778278,-73.93854023,16,"75323"
"74",40.67779354,-73.93853604,16,"75323"
"75",40.67780431,-73.93853197,16,"75323"
"76",40.67781588,-73.93852946,16,"75323"
"77",40.67782728,-73.93852877,16,"75323"
"78",40.677835,-73.93852971,16,"75323"
"79",40.67784346,-73.93852793,16,"75323"
"80",40.67786249,-73.93852255,16,"75323"
"81",40.67788624,-73.93851391,16,"75323"
"82",40.67789638,-73.93851439,16,"75323"
"83",40.67790157,-73.93851536,17,"75323"
