"latitude","longitude","value","session_id"
"1",40.81825271,-73.89034252,11,"74549"
"2",40.81825271,-73.89034252,12,"74549"
"3",40.81850375,-73.89009799,12,"74549"
"4",40.81832812,-73.89019115,11,"74549"
"5",40.81834139,-73.89017927,11,"74549"
"6",40.8183562,-73.89017015,11,"74549"
"7",40.81836542,-73.89016816,11,"74549"
"8",40.81837066,-73.89016482,11,"74549"
"9",40.8183832,-73.89016001,11,"74549"
"10",40.8183869,-73.89015959,11,"74549"
"11",40.81838975,-73.8901592,11,"74549"
"12",40.81839361,-73.89015935,10,"74549"
"13",40.81839532,-73.89015916,10,"74549"
"14",40.81839639,-73.89015718,10,"74549"
"15",40.81839702,-73.89015678,11,"74549"
"16",40.81839354,-73.89014828,11,"74549"
"17",40.81839173,-73.89014257,11,"74549"
"18",40.81839264,-73.89013618,11,"74549"
"19",40.8183928,-73.89013434,11,"74549"
"20",40.81839161,-73.89013464,11,"74549"
"21",40.81839193,-73.89013435,11,"74549"
"22",40.81839294,-73.89013391,11,"74549"
"23",40.81839345,-73.89013369,12,"74549"
"24",40.81839439,-73.8901364,12,"74549"
"25",40.81839402,-73.89014195,11,"74549"
"26",40.81839309,-73.89014378,11,"74549"
"27",40.8183934,-73.89014868,11,"74549"
"28",40.81839234,-73.89015757,11,"74549"
"29",40.81838853,-73.89016776,11,"74549"
"30",40.81838593,-73.89017578,11,"74549"
"31",40.81838299,-73.8901795,11,"74549"
"32",40.81837993,-73.89017984,11,"74549"
"33",40.81837656,-73.89017946,11,"74549"
"34",40.81836709,-73.8901815,11,"74549"
"35",40.8183539,-73.89018776,11,"74549"
"36",40.81834551,-73.89019975,11,"74549"
"37",40.81833913,-73.89021387,11,"74549"
"38",40.81833035,-73.89022905,11,"74549"
"39",40.81831672,-73.89023906,11,"74549"
"40",40.81830121,-73.8902497,11,"74549"
"41",40.81828873,-73.89026776,10,"74549"
"42",40.8182797,-73.89028458,10,"74549"
"43",40.81827472,-73.89029581,10,"74549"
"44",40.81826843,-73.89030725,10,"74549"
"45",40.81825589,-73.89031914,10,"74549"
"46",40.81824295,-73.89032931,11,"74549"
"47",40.81823457,-73.8903361,11,"74549"
"48",40.81823058,-73.89034776,11,"74549"
"49",40.81822478,-73.89035778,10,"74549"
"50",40.81821911,-73.89036148,10,"74549"
"51",40.81821379,-73.89036222,10,"74549"
"52",40.81820715,-73.89036364,10,"74549"
"53",40.81820458,-73.89036577,10,"74549"
"54",40.8182049,-73.89037151,10,"74549"
"55",40.81820565,-73.890374,10,"74549"
"56",40.81820718,-73.8903797,10,"74549"
"57",40.81820331,-73.89038048,10,"74549"
"58",40.81820322,-73.89038542,10,"74549"
"59",40.81820698,-73.89039397,8,"74549"
"60",40.81820938,-73.89040191,8,"74549"
"61",40.81821113,-73.89040834,8,"74549"
"62",40.81821205,-73.89041354,7,"74549"
"63",40.81821222,-73.89041322,7,"74549"
"64",40.81821264,-73.89041571,7,"74549"
"65",40.81820915,-73.8904198,8,"74549"
"66",40.81820484,-73.89042215,8,"74549"
"67",40.81820223,-73.89042478,6,"74549"
"68",40.81820091,-73.89042628,6,"74549"
"69",40.81819943,-73.89042715,6,"74549"
"70",40.81819891,-73.89042802,6,"74549"
"71",40.81819808,-73.89042879,6,"74549"
"72",40.81819784,-73.89042897,6,"74549"
"73",40.8181973,-73.89042959,6,"74549"
"74",40.81819795,-73.89042884,6,"74549"
"75",40.81819724,-73.8904295,5,"74549"
"76",40.81819753,-73.89042947,5,"74549"
"77",40.81819768,-73.89042943,4,"74549"
"78",40.81819787,-73.89042898,4,"74549"
"79",40.81819806,-73.89042836,4,"74549"
"80",40.81819811,-73.89042798,4,"74549"
"81",40.81819835,-73.89042788,4,"74549"
"82",40.81819763,-73.89042797,4,"74549"
"83",40.81819725,-73.89042804,5,"74549"
"84",40.81819689,-73.89042817,5,"74549"
"85",40.81819671,-73.89042824,5,"74549"
"86",40.81819662,-73.89042827,5,"74549"
"87",40.81819657,-73.89042829,5,"74549"
"88",40.81819655,-73.8904283,5,"74549"
"89",40.81819653,-73.89042832,5,"74549"
"90",40.81819652,-73.89042833,5,"74549"
"91",40.8181965,-73.89042836,5,"74549"
"92",40.81819649,-73.89042837,5,"74549"
"93",40.81819648,-73.89042838,6,"74549"
"94",40.81819645,-73.89042838,6,"74549"
"95",40.81819643,-73.89042838,6,"74549"
"96",40.81819642,-73.89042838,6,"74549"
"97",40.81819642,-73.89042837,6,"74549"
"98",40.81819642,-73.89042837,6,"74549"
"99",40.81819642,-73.89042837,6,"74549"
"100",40.81819642,-73.89042837,6,"74549"
"101",40.81819642,-73.89042837,5,"74549"
"102",40.81819642,-73.89042836,5,"74549"
"103",40.8181401,-73.8906461,5,"74549"
"104",40.8181401,-73.8906461,5,"74549"
"105",40.8181401,-73.8906461,5,"74549"
